major,minor,close,high,low,money,open,volume
2017-01-03,600000.XSHG,11.89,11.99,11.8,265043268.0,11.83,22255342.0
2017-01-03,600009.XSHG,25.87,26.0,25.63,92910016.0,25.78,3590836.0
2017-01-03,600016.XSHG,6.85,6.89,6.81,531505641.0,6.83,77592447.0
2017-01-03,600028.XSHG,4.52,4.53,4.43,562683783.0,4.45,125331127.0
2017-01-03,600030.XSHG,15.23,15.27,15.09,1007139764.0,15.13,66221504.0
2017-01-03,600031.XSHG,5.99,6.0,5.85,113993086.0,5.86,19134643.0
2017-01-03,600036.XSHG,16.37,16.39,16.01,543437238.0,16.04,33419271.0
2017-01-03,600048.XSHG,8.3,8.32,8.2,319791662.0,8.24,38665236.0
2017-01-03,600050.XSHG,7.35,7.47,7.13,1802496222.0,7.16,245377807.0
2017-01-03,600104.XSHG,20.35,20.7,20.08,882589992.0,20.08,43256652.0
2017-01-03,600196.XSHG,22.85,22.96,22.37,299375428.0,22.46,13153372.0
2017-01-03,600276.XSHG,24.41,24.62,24.04,209815374.0,24.09,8610433.0
2017-01-03,600309.XSHG,17.07,17.15,16.11,614615721.0,16.11,36627542.0
2017-01-03,600340.XSHG,21.86,21.95,21.68,164929316.0,21.87,7559634.0
2017-01-03,600519.XSHG,320.19,322.53,318.52,695005298.0,319.92,2169568.0
2017-01-03,600547.XSHG,26.0,26.08,25.59,576182026.0,25.74,22290739.0
2017-01-03,600585.XSHG,15.73,15.76,15.26,214964259.0,15.33,13813492.0
2017-01-03,600690.XSHG,9.39,9.41,9.32,127512990.0,9.33,13600349.0
2017-01-03,600703.XSHG,13.38,13.52,12.73,710354568.0,12.83,53364171.0
2017-01-03,600837.XSHG,14.97,15.07,14.91,192082251.0,14.99,12823613.0
2017-01-03,600887.XSHG,16.32,16.52,16.16,514701671.0,16.23,31478050.0
2017-01-03,601012.XSHG,7.68,7.71,7.59,98330768.0,7.62,12806285.0
2017-01-03,601088.XSHG,12.79,12.89,12.69,185447499.0,12.79,14486340.0
2017-01-03,601111.XSHG,6.95,6.99,6.92,111348964.0,6.92,15999360.0
2017-01-03,601166.XSHG,14.44,14.55,14.35,782612585.0,14.35,54198825.0
2017-01-03,601186.XSHG,11.36,11.45,11.25,604413096.0,11.31,53186886.0
2017-01-03,601211.XSHG,17.53,17.63,17.37,455407100.0,17.37,25978735.0
2017-01-03,601288.XSHG,2.71,2.72,2.68,612871310.0,2.69,226681403.0
2017-01-03,601318.XSHG,33.22,33.53,32.89,1062134997.0,32.9,31895872.0
2017-01-03,601328.XSHG,5.03,5.04,4.97,545967084.0,4.97,109025925.0
2017-01-03,601336.XSHG,43.47,43.99,42.28,351744514.0,42.28,8120482.0
2017-01-03,601390.XSHG,8.53,8.6,8.42,407661112.0,8.45,47839841.0
2017-01-03,601398.XSHG,3.88,3.88,3.85,460087750.0,3.86,118797210.0
2017-01-03,601601.XSHG,26.12,26.34,25.66,205917441.0,25.76,7875278.0
2017-01-03,601628.XSHG,24.45,24.63,23.42,647483452.0,23.42,26692195.0
2017-01-03,601668.XSHG,5.85,5.89,5.77,1942065834.0,5.82,332247202.0
2017-01-03,601688.XSHG,17.17,17.26,16.91,587549990.0,16.91,34240116.0
2017-01-03,601766.XSHG,9.26,9.31,9.18,595123723.0,9.18,64345281.0
2017-01-03,601818.XSHG,3.52,3.53,3.47,538200105.0,3.48,153190358.0
2017-01-03,601857.XSHG,7.52,7.56,7.47,356766660.0,7.51,47444845.0
2017-01-03,601888.XSHG,21.01,21.09,20.82,57828703.0,20.82,2756627.0
2017-01-03,601939.XSHG,4.81,4.85,4.75,421117955.0,4.77,87729270.0
2017-01-03,601988.XSHG,3.01,3.02,2.98,393101769.0,2.99,130967154.0
2017-01-03,601989.XSHG,7.31,7.33,7.08,1378289803.0,7.09,190501974.0
2017-01-03,603993.XSHG,3.57,3.58,3.54,72602348.0,3.55,20350875.0
2017-01-04,600000.XSHG,11.91,11.93,11.8,482612222.0,11.88,40651609.0
2017-01-04,600009.XSHG,26.01,26.07,25.85,148157228.0,25.91,5700051.0
2017-01-04,600016.XSHG,6.85,6.86,6.8,663889518.0,6.84,97229757.0
2017-01-04,600028.XSHG,4.57,4.59,4.48,559970896.0,4.5,122847399.0
2017-01-04,600030.XSHG,15.26,15.31,15.18,837514080.0,15.22,54918152.0
2017-01-04,600031.XSHG,6.05,6.05,5.96,122670200.0,5.98,20386932.0
2017-01-04,600036.XSHG,16.42,16.51,16.27,461916729.0,16.31,28160796.0
2017-01-04,600048.XSHG,8.32,8.35,8.24,352661536.0,8.28,42531558.0
2017-01-04,600050.XSHG,7.34,7.39,7.21,1485577274.0,7.31,203505963.0
2017-01-04,600104.XSHG,20.7,20.87,20.35,814803312.0,20.42,39355801.0
2017-01-04,600196.XSHG,22.95,23.03,22.69,205173093.0,22.79,8957937.0
2017-01-04,600276.XSHG,24.72,24.86,24.42,221356008.0,24.48,8978683.0
2017-01-04,600309.XSHG,17.72,17.75,16.97,637781980.0,17.07,36538151.0
2017-01-04,600340.XSHG,22.15,22.32,21.96,222486180.0,22.32,10061321.0
2017-01-04,600519.XSHG,336.8,337.04,320.23,2245051865.0,320.25,6818584.0
2017-01-04,600547.XSHG,26.11,26.2,25.82,677449123.0,26.03,26018629.0
2017-01-04,600585.XSHG,15.67,15.74,15.54,176782367.0,15.66,11309583.0
2017-01-04,600690.XSHG,9.48,9.49,9.37,175952923.0,9.4,18649009.0
2017-01-04,600703.XSHG,13.35,13.69,13.16,614600080.0,13.42,45906525.0
2017-01-04,600837.XSHG,15.01,15.03,14.86,165919368.0,14.95,11088151.0
2017-01-04,600887.XSHG,16.51,16.52,16.26,639493525.0,16.33,38975311.0
2017-01-04,601012.XSHG,7.69,7.7,7.61,94920896.0,7.7,12379588.0
2017-01-04,601088.XSHG,12.88,12.92,12.73,213655593.0,12.78,16636612.0
2017-01-04,601111.XSHG,7.0,7.03,6.94,131475679.0,6.96,18808225.0
2017-01-04,601166.XSHG,14.51,14.57,14.41,692194078.0,14.44,47688384.0
2017-01-04,601186.XSHG,11.56,11.74,11.37,1063379344.0,11.41,92020786.0
2017-01-04,601211.XSHG,17.6,17.61,17.44,392329508.0,17.53,22366253.0
2017-01-04,601288.XSHG,2.71,2.73,2.7,533118732.0,2.71,196662123.0
2017-01-04,601318.XSHG,33.19,33.32,33.06,900817691.0,33.23,27126824.0
2017-01-04,601328.XSHG,5.03,5.06,5.0,585133552.0,5.02,116393011.0
2017-01-04,601336.XSHG,43.53,43.8,43.14,169429836.0,43.45,3894249.0
2017-01-04,601390.XSHG,8.77,8.95,8.57,884992394.0,8.59,100718721.0
2017-01-04,601398.XSHG,3.88,3.89,3.87,526408823.0,3.88,135633159.0
2017-01-04,601601.XSHG,26.27,26.34,26.01,230102881.0,26.12,8791684.0
2017-01-04,601628.XSHG,24.52,24.64,24.18,322858038.0,24.21,13216525.0
2017-01-04,601668.XSHG,5.92,5.96,5.81,2371518468.0,5.83,402316952.0
2017-01-04,601688.XSHG,17.4,17.46,17.14,656245723.0,17.17,37891204.0
2017-01-04,601766.XSHG,9.35,9.38,9.25,865910445.0,9.27,92707545.0
2017-01-04,601818.XSHG,3.53,3.54,3.51,283772640.0,3.52,80584467.0
2017-01-04,601857.XSHG,7.55,7.59,7.48,315504098.0,7.52,41898650.0
2017-01-04,601888.XSHG,21.04,21.15,20.93,80553160.0,21.01,3822864.0
2017-01-04,601939.XSHG,4.81,4.83,4.79,417894462.0,4.8,86901326.0
2017-01-04,601988.XSHG,3.01,3.02,2.99,325874866.0,3.0,108289736.0
2017-01-04,601989.XSHG,7.34,7.38,7.27,1537834174.0,7.27,209716509.0
2017-01-04,603993.XSHG,3.62,3.62,3.56,111088477.0,3.57,30951520.0
2017-01-05,600000.XSHG,11.89,11.95,11.85,431449126.0,11.89,36236639.0
2017-01-05,600009.XSHG,26.05,26.17,26.0,138031092.0,26.08,5289209.0
2017-01-05,600016.XSHG,6.83,6.86,6.82,511452908.0,6.85,74787957.0
2017-01-05,600028.XSHG,4.72,4.77,4.54,1359467415.0,4.55,290955904.0
2017-01-05,600030.XSHG,15.2,15.3,15.17,774027870.0,15.28,50869331.0
